ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-8.661,-4.7669,2.1955,-15.97,-19.03,-50.76,117.1,-4.32,17.46,0,56.413,"48° 9‘  48,9633‘‘ N","11° 33‘  26,2374‘‘ E",563.82,NaN,1.19,12,349.32,14 / 20,118,2018-11-09 10:14:09:758
-7.525,-5.6802,1.3958,-15.97,-19.03,-50.76,117.1,-4.32,17.46,0,56.413,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,218,2018-11-09 10:14:09:858
-7.0366,-4.2569,0.4764,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,52.996,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,322,2018-11-09 10:14:09:962
-6.3949,-6.3614,0.7673,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,52.996,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,418,2018-11-09 10:14:10:058
-4.7118,-6.954,-0.0946,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,52.996,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,519,2018-11-09 10:14:10:159
-2.5702,-8.1391,-0.8045,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,52.996,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,618,2018-11-09 10:14:10:258
-0.2921,-11.2252,-1.5562,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,65.832,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,718,2018-11-09 10:14:10:358
-0.2945,-10.1359,-0.9266,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,65.832,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,818,2018-11-09 10:14:10:458
0.0479,-9.2213,-1.2845,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,65.832,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,918,2018-11-09 10:14:10:558
0.0431,-9.6187,-1.561,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,63.469,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,1018,2018-11-09 10:14:10:658
-1.3096,-10.5752,-0.0419,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,63.469,"48° 9‘  48,9908‘‘ N","11° 33‘  26,2168‘‘ E",563.83,NaN,1.22,12,339.18,16 / 20,1118,2018-11-09 10:14:10:758
-1.3479,-11.2659,-0.1556,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,63.469,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,1219,2018-11-09 10:14:10:859
0.9816,-11.7364,-0.2526,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,51.538,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,1318,2018-11-09 10:14:10:958
0.2203,-11.4287,0.1592,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,51.538,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,1418,2018-11-09 10:14:11:058
0.0455,-7.9667,-0.0539,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,51.538,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,1519,2018-11-09 10:14:11:159
-0.0479,-5.0446,1.4688,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.738,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,1618,2018-11-09 10:14:11:258
-0.5698,-8.5198,6.2285,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.738,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,1719,2018-11-09 10:14:11:359
0.6009,-10.3082,4.367,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.738,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,1819,2018-11-09 10:14:11:459
0.4178,-9.3925,-1.5933,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.738,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,1918,2018-11-09 10:14:11:558
0.4298,-9.3158,-0.1496,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,57.803,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,2020,2018-11-09 10:14:11:660
-0.1712,-8.5832,1.3946,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,57.803,"48° 9‘  49,0045‘‘ N","11° 33‘  26,2065‘‘ E",563.81,NaN,1.01,12,339.18,16 / 20,2118,2018-11-09 10:14:11:758
-0.2502,-9.0513,-0.0611,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,57.803,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,2219,2018-11-09 10:14:11:859
-1.6508,-10.7344,-0.0347,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.475,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,2318,2018-11-09 10:14:11:958
-1.9908,-11.4934,0.4597,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.475,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,2418,2018-11-09 10:14:12:058
1.7514,-13.8564,-0.9266,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.475,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,2520,2018-11-09 10:14:12:160
-0.7171,-11.5412,-0.1281,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.132,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,2618,2018-11-09 10:14:12:258
0.6261,-5.1332,-0.3077,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.132,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,2718,2018-11-09 10:14:12:358
-0.1401,-5.0278,4.0306,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,58.132,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,2819,2018-11-09 10:14:12:459
-0.6428,-9.6079,7.0928,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,65.616,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,2918,2018-11-09 10:14:12:558
1.5694,-9.0273,1.8711,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,65.616,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,3021,2018-11-09 10:14:12:661
0.2011,-9.6989,-0.7063,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,65.616,"48° 9‘  49,0045‘‘ N","11° 33‘  26,1138‘‘ E",563.74,NaN,2.64,16,93.2,16 / 20,3118,2018-11-09 10:14:12:758
-0.8918,-8.7963,0.7961,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,65.616,"48° 9‘  49,0182‘‘ N","11° 33‘  26,1310‘‘ E",563.53,NaN,3.85,8,56.03,16 / 20,3218,2018-11-09 10:14:12:858
-0.7003,-7.8769,0.2047,-15.97,-19.03,-50.76,117.1,-4.32,17.46,8,60.598,"48° 9‘  49,0182‘‘ N","11° 33‘  26,1310‘‘ E",563.53,NaN,3.85,8,56.03,16 / 20,3318,2018-11-09 10:14:12:958
